categoria,perfil,quantidade,comprimento_total_m,massa_kg
CONTRAV_COBERTURA_01_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_A,Contraventamento,barra-20,11180.3,27.57
CONTRAV_COBERTURA_02_B,Contraventamento,barra-20,11180.3,27.57
CONTRAV_PAREDE_D_01_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_01_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_02_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_D_02_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_01_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_01_B,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_02_A,Contraventamento,barra-20,7787.2,19.2
CONTRAV_PAREDE_E_02_B,Contraventamento,barra-20,7787.2,19.2
ESTICADOR_COBERTURA_01_A,Esticadores (contravento),esticador-M20,11180.3,2.25
ESTICADOR_COBERTURA_01_B,Esticadores (contravento),esticador-M20,11180.3,2.25
ESTICADOR_COBERTURA_02_A,Esticadores (contravento),esticador-M20,11180.3,2.25
ESTICADOR_COBERTURA_02_B,Esticadores (contravento),esticador-M20,11180.3,2.25
ESTICADOR_PAREDE_D_01_A,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_D_01_B,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_D_02_A,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_D_02_B,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_E_01_A,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_E_01_B,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_E_02_A,Esticadores (contravento),esticador-M20,7787.2,2.25
ESTICADOR_PAREDE_E_02_B,Esticadores (contravento),esticador-M20,7787.2,2.25
MAO_FRANCESA_00_01,Tirantes / maos-francesas,barra-16,340.0,0.54
MAO_FRANCESA_00_02,Tirantes / maos-francesas,barra-16,340.0,0.54
MAO_FRANCESA_05_01,Tirantes / maos-francesas,barra-16,340.0,0.54
MAO_FRANCESA_05_02,Tirantes / maos-francesas,barra-16,340.0,0.54
